Crash_UP_ID,FID,FID_Austin,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID1,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,CrashID,CrashID1,Latitude,Longitude,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Drvr_Drg_Cat_1_ID,Prsn_Death_Date,Prsn_Death_Time,Incap_Injry_Cnt.x,Nonincap_Injry_Cnt.x,Poss_Injry_Cnt.x,Non_Injry_Cnt.x,Unkn_Injry_Cnt.x,Tot_Injry_Cnt.x,Death_Cnt.x,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude.1,Longitude.1,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt.y,Nonincap_Injry_Cnt.y,Poss_Injry_Cnt.y,Non_Injry_Cnt.y,Unkn_Injry_Cnt.y,Tot_Injry_Cnt.y,Death_Cnt.y,MPO_ID,Unit_ID,Unit_Prsn_ID
AUS_1186272821,103,488,48,453,2409,1,4.85E+11,1500US484530024091,Block Group 1,G5030,S,632273,0,30.2114137,-97.791042,11862728,AUS_11862728,30.2115,-97.78936,2,1,3,16,3,14,2,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,0,1,0,0,1,0,N,N,N,N,N,N,N,1/4/2011,7:20 AM,227,1792,Y,N,NA,NA,19,NA,,1,NA,W,STASSNEY,LN,N,N,0,N,N,,Y,19,NA,,1,,,GOBI,DR,NA,NA,,,,NA,12,1,2,NA,1,1,8,7:21 AM,DISPATCHED,7:32 AM,1/4/2011,Y,74,NA,NA,290,8,5,2,1,64,54,1,4,1,21,21,227,22,30.2115,-97.78936,,NA,NA,NA,W STASSNEY LN,NA,NA,NA,NA,NA,NA,,NA,NA,GOBI DR,NA,NA,NA,NA,Y,N,N,3,9,Y,TUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,90,118627282,1186272821
AUS_1186300021,574,433,48,453,1100,1,4.85E+11,1500US484530011001,Block Group 1,G5030,S,2044061,66635,30.2687002,-97.7433003,11863000,AUS_11863000,30.26581704,-97.74226992,2,1,3,16,2,23,1,1,4,11,1,1,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,1/6/2011,8:37 AM,227,22,N,N,NA,NA,19,NA,,1,100,E,4TH,ST,N,N,30,N,N,,N,19,NA,,1,400,,BRAZOS,ST,NA,NA,,,,NA,11,1,4,NA,1,1,8,8:38 AM,DISPATCH,8:46 AM,1/6/2011,Y,74,NA,NA,358,8,5,3,3,64,13,1,5,1,32,21,227,22,30.26581704,-97.74226992,,NA,NA,NA,E 4TH ST,191,NA,NA,NA,NA,NA,,NA,NA,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,THU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,118630002,1186300021
AUS_1186817221,837,253,48,453,402,2,4.85E+11,1500US484530004022,Block Group 2,G5030,S,428149,0,30.2836183,-97.7100421,11868172,AUS_11868172,30.28602,-97.708,2,1,3,16,2,23,2,1,4,11,1,5,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,1/11/2011,5:40 PM,227,22,N,N,NA,NA,19,NA,,1,2900,,MANOR,RD,N,N,35,N,N,,Y,15,NA,,1,3400,,BANTON,RD,NA,NA,,,,NA,11,1,2,NA,2,1,16,5:48 PM,FLAGGED DOWN,5:48 PM,1/11/2011,Y,74,NA,NA,92,8,5,1,3,64,54,1,5,1,21,21,227,22,30.28602,-97.708,,NA,NA,NA,MANOR RD,2961,NA,NA,NA,NA,NA,,NA,NA,BANTON RD,NA,NA,NA,NA,Y,N,N,2,9,Y,TUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,90,118681722,1186817221
AUS_1188569521,641,433,48,453,1100,1,4.85E+11,1500US484530011001,Block Group 1,G5030,S,2044061,66635,30.2687002,-97.7433003,11885695,AUS_11885695,30.269,-97.74247,2,1,3,16,5,25,1,2,4,11,1,2,N,4,NA,NA,4,97,97,,,0,0,0,1,0,0,0,N,N,N,N,N,N,N,1/26/2011,10:19 PM,227,22,N,N,NA,NA,19,NA,,1,600,,CONGRESS,AVE,N,N,35,N,N,,Y,19,NA,,1,,E,7TH,ST,NA,NA,,,,NA,11,4,4,NA,1,1,5,10:14 PM,DISPATCHED,10:21 PM,1/26/2011,Y,74,NA,8,531,8,5,2,1,64,54,1,5,1,21,21,227,22,30.269,-97.74247,,NA,NA,NA,CONGRESS AVE,701,NA,NA,NA,NA,NA,,NA,NA,W 7TH ST,NA,NA,NA,NA,N,N,N,5,9,Y,WED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,0,90,118856952,1188569521
AUS_1188575821,1013,337,48,453,302,4,4.85E+11,1500US484530003024,Block Group 4,G5030,S,488686,0,30.2997306,-97.7195394,11885758,AUS_11885758,30.30481,-97.71961,2,1,3,16,2,22,4,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,1/19/2011,9:40 PM,227,22,N,N,NA,NA,19,NA,,1,4400,,RED RIVER,ST,N,N,30,N,N,,Y,19,NA,,1,900,E,45TH,ST,NA,NA,,,,NA,11,4,4,NA,1,1,5,9:41 PM,DISPATCH,9:46 PM,1/19/2011,Y,74,NA,NA,NA,8,5,2,2,64,54,1,5,1,21,21,227,22,30.30481,-97.71961,,NA,NA,NA,RED RIVER ST,4501,NA,NA,NA,NA,NA,,NA,NA,E 45TH ST,NA,NA,NA,NA,Y,N,N,2,9,Y,WED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,118857582,1188575821
AUS_1188593921,1113,472,48,453,2105,2,4.85E+11,1500US484530021052,Block Group 2,G5030,S,857352,0,30.3176518,-97.7037163,11885939,AUS_11885939,30.32212067,-97.70681763,2,1,3,16,3,32,2,1,4,11,1,3,N,4,NA,NA,4,97,97,,,0,0,1,0,0,1,0,N,N,N,N,N,N,N,1/19/2011,6:43 PM,227,22,N,N,NA,NA,1,35,,2,NA,N,IH 35 SB SVRD,HWY,N,N,45,N,N,,Y,19,NA,,2,,E,KOENIG,LN,NA,NA,,,,NA,11,4,0,2,1,1,5,6:44 PM,ON SITE,6:45 PM,1/19/2011,Y,74,NA,NA,281,8,5,1,1,64,54,2,1,1,21,21,227,22,30.32212067,-97.70681763,IH,35,NA,238.109,IH0035,NA,15,13,21.996,239,-0.045,US,290,NA,US0290,NA,NA,NA,NA,Y,Y,N,3,9,Y,WED,5,0,4,10,32,2,8,300,124,96,4,0,0,2,8,5,2,20,5,2,24,4,11,188830,2012,188830,2.5,6.7,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,90,118859392,1188593921
AUS_1188601021,1062,380,48,453,304,1,4.85E+11,1500US484530003041,Block Group 1,G5030,S,592215,0,30.3082262,-97.7144996,11886010,AUS_11886010,30.31119,-97.71339,2,1,3,16,3,25,1,1,4,11,1,2,N,4,NA,NA,4,97,97,,,0,0,1,0,0,1,0,N,N,N,N,N,N,N,1/25/2011,8:55 AM,227,22,N,Y,NA,NA,19,NA,,1,900,E,51ST,ST,N,N,30,N,N,GOOD BLACKTOP,Y,19,NA,,1,5100,,BENNETT,AVE,NA,NA,,,GOOD BLACKTOP,NA,11,1,4,NA,1,1,8,8:59 AM,RADIO,9:09 AM,1/25/2011,Y,74,NA,NA,125,8,5,1,1,64,54,1,5,1,21,21,227,22,30.31119,-97.71339,,NA,NA,NA,E 51ST ST,924,NA,NA,NA,NA,NA,,NA,NA,BENNETT AVE,NA,NA,NA,NA,Y,N,N,3,9,Y,TUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,90,118860102,1188601021
AUS_1189690721,452,561,48,453,2111,2,4.85E+11,1500US484530021112,Block Group 2,G5030,S,2174744,135639,30.2532607,-97.6940465,11896907,AUS_11896907,30.26065,-97.69872,2,1,3,16,5,23,1,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,0,0,1,0,0,0,N,N,N,N,N,N,N,1/25/2011,6:27 PM,227,22,N,N,NA,NA,19,NA,,1,4600,,LYONS,RD,N,N,0,N,N,,Y,19,NA,,1,800,,SPRINGDALE,RD,NA,NA,,,,NA,11,1,4,NA,1,1,8,6:27 PM,DISPATCHED,6:32 PM,1/25/2011,Y,74,288,34,48,8,5,1,2,64,54,1,5,1,21,21,227,22,30.26065,-97.69872,,NA,NA,NA,LYONS RD,3698,NA,NA,NA,NA,NA,,NA,NA,SPRINGDALE RD,NA,NA,NA,NA,N,N,N,5,9,Y,TUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,0,90,118969072,1189690721
AUS_1189690731,451,561,48,453,2111,2,4.85E+11,1500US484530021112,Block Group 2,G5030,S,2174744,135639,30.2532607,-97.6940465,11896907,AUS_11896907,30.26065,-97.69872,3,1,3,16,5,24,1,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,0,0,1,0,0,0,N,N,N,N,N,N,N,1/25/2011,6:27 PM,227,22,N,N,NA,NA,19,NA,,1,4600,,LYONS,RD,N,N,0,N,N,,Y,19,NA,,1,800,,SPRINGDALE,RD,NA,NA,,,,NA,11,1,4,NA,1,1,8,6:27 PM,DISPATCHED,6:32 PM,1/25/2011,Y,74,288,34,48,8,5,1,2,64,54,1,5,1,21,21,227,22,30.26065,-97.69872,,NA,NA,NA,LYONS RD,3698,NA,NA,NA,NA,NA,,NA,NA,SPRINGDALE RD,NA,NA,NA,NA,N,N,N,5,9,Y,TUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,0,90,118969073,1189690731
AUS_1189691121,1006,66,48,453,306,1,4.85E+11,1500US484530003061,Block Group 1,G5030,S,3371879,0,30.2971559,-97.7002732,11896911,AUS_11896911,30.30411543,-97.69933315,2,1,3,16,2,29,1,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,1/28/2011,7:07 PM,227,22,N,Y,NA,NA,19,NA,,1,1600,E,51ST,ST,N,N,40,N,N,,N,19,NA,,1,,,BERKMAN,DR,NA,NA,,,,NA,11,3,2,NA,1,1,16,7:07 PM,DISPATCHED,7:16 PM,1/28/2011,Y,74,NA,34,48,8,5,4,1,64,54,1,5,1,21,21,227,22,30.30411543,-97.69933315,,NA,NA,NA,E 51ST ST,1677,NA,NA,NA,NA,NA,,NA,NA,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,FRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,0,2,0,90,118969112,1189691121
