Street_Name,Crash_UP_ID,FID,FID_Austin,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID1,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,CrashID,CrashID1,Latitude,Longitude,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Drvr_Drg_Cat_1_ID,Prsn_Death_Date,Prsn_Death_Time,Incap_Injry_Cnt.x,Nonincap_Injry_Cnt.x,Poss_Injry_Cnt.x,Non_Injry_Cnt.x,Unkn_Injry_Cnt.x,Tot_Injry_Cnt.x,Death_Cnt.x,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude.1,Longitude.1,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt.y,Nonincap_Injry_Cnt.y,Poss_Injry_Cnt.y,Non_Injry_Cnt.y,Unkn_Injry_Cnt.y,Tot_Injry_Cnt.y,Death_Cnt.y,MPO_ID,Unit_ID,Unit_Prsn_ID,Count,BikePath
BARTON SPRINGS RD,AUS_1270777021,429,450,48,453,1305,1,4.85E+11,1500US484530013051,Block Group 1,G5030,S,1106325,65346,30.2582419,-97.7524205,12707770,AUS_12707770,30.25890131,-97.75162609,2,1,3,16,2,26,1,2,4,11,1,5,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,3/27/2012,3:11 PM,227,22,N,N,NA,NA,19,NA,,1,721,,BARTON SPRINGS,RD,N,N,35,N,N,,N,19,NA,,NA,400,S,1ST,ST,NA,NA,,,,NA,11,1,0,NA,1,1,5,3:11 PM,DISPATCHED,3:13 PM,3/27/2012,Y,74,NA,105,112,8,5,1,1,64,54,1,5,1,21,21,227,22,30.25890131,-97.75162609,,NA,NA,NA,717,NA,NA,NA,NA,NA,,NA,NA,S 1ST ST,NA,NA,NA,NA,Y,N,N,2,9,Y,TUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,6,0,1,0,90,127077702,1270777021,28,Yes
BARTON SPRINGS RD,AUS_1458416621,470,349,48,453,1303,1,4.85E+11,1500US484530013031,Block Group 1,G5030,S,710768,43869,30.2634026,-97.7612102,14584166,AUS_14584166,30.26152478,-97.75995246,2,1,3,16,2,24,1,2,4,11,1,1,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,8/10/2015,9:56 AM,227,22,N,Y,NA,NA,19,NA,,1,1500,,BARTON SPRINGS,RD,N,N,30,N,N,,N,19,NA,,1,1500,,BARTON SPRINGS,RD,NA,NA,,,KINNEY,NA,11,1,0,NA,1,1,20,9:41 AM,DISPATCH,9:50 AM,8/10/2015,Y,74,NA,NA,93,8,5,4,1,64,54,1,5,1,21,21,227,22,30.26152478,-97.75995246,,NA,NA,NA,1500,NA,NA,NA,NA,NA,,NA,NA,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,MON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,0,1,0,90,NA,NA,28,Yes
BARTON SPRINGS RD,AUS_1418147321,579,117,48,453,1911,1,4.85E+11,1500US484530019111,Block Group 1,G5030,S,1910326,73868,30.264103,-97.7744638,14181473,AUS_14181473,30.26604487,-97.76805385,2,1,3,16,2,28,1,1,4,11,1,3,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,11/23/2014,3:16 PM,227,22,N,N,NA,NA,19,NA,,1,2200,,BARTON SPRINGS,RD,N,N,35,N,N,,N,19,NA,,NA,,,ANDREW ZILKER,RD,NA,NA,,,,NA,11,1,2,NA,2,1,16,3:16 PM,ON SIGHT,3:16 PM,11/23/2014,Y,74,1043,93,112,8,5,2,2,64,54,1,5,2,21,21,227,22,30.26604487,-97.76805385,,NA,NA,NA,2200,NA,NA,NA,NA,NA,,NA,NA,UNKNOWN,NA,NA,NA,NA,Y,N,N,2,9,Y,SUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,141814732,1418147321,28,Yes
BARTON SPRINGS RD,AUS_1314622821,578,117,48,453,1911,1,4.85E+11,1500US484530019111,Block Group 1,G5030,S,1910326,73868,30.264103,-97.7744638,13146228,AUS_13146228,30.26601786,-97.76865404,2,1,3,16,2,25,1,2,4,11,1,97,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,2/18/2013,3:26 PM,227,22,N,N,NA,NA,19,NA,,1,2200,,BARKER SPRINGS,RD,N,N,35,N,N,,N,19,NA,,NA,1100,,WILLIAM BARTON,DR,NA,NA,,,,NA,11,1,2,NA,1,1,1,3:26 PM,DISPATCH,3:35 PM,2/18/2013,Y,74,42,93,112,8,5,2,3,64,54,1,5,1,21,21,227,22,30.26601786,-97.76865404,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,UNKNOWN,NA,NA,NA,NA,Y,N,N,2,9,Y,MON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,131462282,1314622821,28,Yes
BARTON SPRINGS RD,AUS_1371117321,416,450,48,453,1305,1,4.85E+11,1500US484530013051,Block Group 1,G5030,S,1106325,65346,30.2582419,-97.7524205,13711173,AUS_13711173,30.25842,-97.75011,2,1,3,16,2,23,1,1,4,11,1,97,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,2/24/2014,4:55 PM,227,22,N,Y,NA,NA,19,NA,,1,NA,,BARTON SPRINGS,RD,N,N,40,N,N,,Y,19,NA,,1,,S,1ST,ST,NA,NA,,,,NA,11,1,4,NA,1,1,5,4:55 PM,DISPATCH,4:55 PM,2/24/2014,N,74,1043,93,112,8,5,2,2,64,3,1,5,1,21,21,227,22,30.25842,-97.75011,,NA,NA,NA,600,NA,NA,NA,NA,NA,,NA,NA,S 1ST ST,NA,NA,NA,NA,Y,N,N,2,9,Y,MON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,137111732,1371117321,28,Yes
BARTON SPRINGS RD,AUS_1453969021,580,117,48,453,1911,1,4.85E+11,1500US484530019111,Block Group 1,G5030,S,1910326,73868,30.264103,-97.7744638,14539690,AUS_14539690,30.26606478,-97.76887246,2,1,3,16,2,35,1,1,4,11,1,1,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,7/15/2015,7:14 PM,227,22,N,N,NA,NA,19,NA,,1,2100,,BARTON SPRINGS RD,,N,N,35,N,N,,Y,19,NA,,1,2100,,WILLIAM BARTON RD,,NA,NA,,,,NA,11,1,2,NA,4,1,20,7:14 PM,DISPATCH,7:21 PM,7/15/2015,Y,74,NA,NA,105,8,5,1,3,64,21,1,5,1,21,21,227,22,30.26606478,-97.76887246,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,WILLIAM BARTON DR,NA,NA,NA,NA,Y,N,N,2,9,Y,WED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,NA,NA,28,Yes
BARTON SPRINGS RD,AUS_1283709111,459,68,48,453,1303,2,4.85E+11,1500US484530013032,Block Group 2,G5030,S,635029,0,30.2562161,-97.7625867,12837091,AUS_12837091,30.26105276,-97.75897645,1,1,3,16,2,19,1,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,7/9/2012,1:03 PM,227,22,N,Y,NA,NA,19,NA,,1,1400,,BARTON SPRINGS,RD,N,N,35,N,N,,N,19,NA,,NA,400,S,LAMAR,,NA,NA,,,,NA,11,1,0,NA,1,1,20,1:03 PM,DISPATCH,1:20 PM,7/9/2012,Y,74,NA,105,112,8,5,4,1,64,54,1,5,1,21,21,227,22,30.26105276,-97.75897645,,NA,NA,NA,1375,NA,NA,NA,NA,NA,,NA,NA,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,MON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,0,1,0,90,128370911,1283709111,28,Yes
BARTON SPRINGS RD,AUS_1461250621,490,349,48,453,1303,1,4.85E+11,1500US484530013031,Block Group 1,G5030,S,710768,43869,30.2634026,-97.7612102,14612506,AUS_14612506,30.2623834,-97.76197666,2,1,3,16,2,22,1,2,4,11,1,3,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,8/24/2015,8:35 AM,227,22,N,N,NA,NA,19,NA,,1,1600,,BARTON SPRINGS RD,RD,N,N,-1,N,N,,N,19,NA,,1,1608,,BARTON SPRINGS RD,RD,NA,NA,,,,NA,11,1,0,NA,1,1,16,1:47 PM,DISPATCH,4:25 PM,8/24/2015,Y,74,NA,NA,98,8,5,3,2,64,13,1,5,2,32,21,227,22,30.2623834,-97.76197666,,NA,NA,NA,1600,NA,NA,NA,NA,NA,,NA,NA,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,MON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,NA,NA,28,Yes
BARTON SPRINGS RD,AUS_1331102821,480,68,48,453,1303,2,4.85E+11,1500US484530013032,Block Group 2,G5030,S,635029,0,30.2562161,-97.7625867,13311028,AUS_13311028,30.26191487,-97.76150353,2,1,3,16,2,22,1,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,5/29/2013,10:33 PM,227,22,N,N,NA,NA,19,NA,,1,1600,,BARTON SPRINGS,RD,N,N,35,N,N,,N,19,NA,,NA,500,,KINNEY,AVE,NA,NA,,,,NA,11,4,0,NA,1,1,16,10:33 PM,DISPATCH,10:36 PM,5/29/2013,Y,74,22,105,112,8,5,3,1,64,14,1,5,1,32,21,227,22,30.26191487,-97.76150353,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,WED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,0,1,0,90,133110282,1331102821,28,Yes
BARTON SPRINGS RD,AUS_1369620821,440,450,48,453,1305,1,4.85E+11,1500US484530013051,Block Group 1,G5030,S,1106325,65346,30.2582419,-97.7524205,13696208,AUS_13696208,30.25940781,-97.75306636,2,1,3,16,2,43,1,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,2/1/2014,1:43 PM,227,22,N,N,NA,NA,19,NA,,1,800,,BARTON SPRINGS RD,,N,N,35,N,N,,N,19,NA,,NA,,S,1ST ST,,NA,NA,,,,NA,12,1,98,NA,1,1,16,1:43 PM,DISPATCH,1:45 PM,2/1/2014,Y,74,1043,93,112,8,5,3,1,64,14,1,5,2,32,21,227,22,30.25940781,-97.75306636,,NA,NA,NA,842,NA,NA,NA,NA,NA,,NA,NA,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,SAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,90,136962082,1369620821,28,Yes
