FID,FID_Austin,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID1,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,FID_new1,CrashID,CrashID1,Latitude,Longitude,Unit_Nbr,Prsn_Nbr,Crash_UP_ID,Prsn_Type_,Prsn_Injry,Prsn_Age,Prsn_Gndr_
0,302,48,453,1772,2,4.8453E+11,1500US484530017722,Block Group 2,G5030,S,1136782,0,30.1517439,-97.8304683,737,13616636,AUS_13616636,30.15243101,-97.82760595,2,1,AUS_1361663621,3,2,9,1
1,425,48,453,2426,1,4.8453E+11,1500US484530024261,Block Group 1,G5030,S,11715190,2757,30.1445022,-97.7497211,1106,11985088,AUS_11985088,30.15383219,-97.74268103,2,1,AUS_1198508821,3,2,9,2
2,76,48,453,1774,2,4.8453E+11,1500US484530017742,Block Group 2,G5030,S,2607859,0,30.1559348,-97.843011,1317,12320921,AUS_12320921,30.15505,-97.83583,1,1,AUS_1232092111,3,2,8,1
3,244,48,453,2421,2,4.8453E+11,1500US484530024212,Block Group 2,G5030,S,3083599,0,30.1572599,-97.8146566,410,14054034,AUS_14054034,30.15744,-97.80038,2,1,AUS_1405403421,3,2,37,2
4,425,48,453,2426,1,4.8453E+11,1500US484530024261,Block Group 1,G5030,S,11715190,2757,30.1445022,-97.7497211,105,14500710,AUS_14500710,30.15762554,-97.74276327,2,1,AUS_1450071021,3,1,46,2
5,425,48,453,2426,1,4.8453E+11,1500US484530024261,Block Group 1,G5030,S,11715190,2757,30.1445022,-97.7497211,960,12903447,AUS_12903447,30.16027805,-97.74482412,2,1,AUS_1290344721,3,1,50,1
6,223,48,453,1748,2,4.8453E+11,1500US484530017482,Block Group 2,G5030,S,2485564,0,30.1682788,-97.8305415,308,13797748,AUS_13797748,30.16416,-97.83002,2,1,AUS_1379774821,3,2,25,2
7,322,48,453,2421,1,4.8453E+11,1500US484530024211,Block Group 1,G5030,S,4372744,0,30.1654124,-97.8032333,78,14425468,AUS_14425468,30.16713419,-97.79092662,2,1,AUS_1442546821,3,2,34,1
8,322,48,453,2421,1,4.8453E+11,1500US484530024211,Block Group 1,G5030,S,4372744,0,30.1654124,-97.8032333,156,14630723,AUS_14630723,30.1671348,-97.79094246,2,1,AUS_1463072321,3,2,23,2
9,490,48,453,2433,2,4.8453E+11,1500US484530024332,Block Group 2,G5030,S,35212454,72454,30.1690033,-97.5807392,50,14362368,AUS_14362368,30.16797479,-97.6200825,2,1,AUS_1436236821,3,2,8,1
10,223,48,453,1748,2,4.8453E+11,1500US484530017482,Block Group 2,G5030,S,2485564,0,30.1682788,-97.8305415,618,13336230,AUS_13336230,30.17021913,-97.82508247,2,1,AUS_1333623021,3,1,33,1
