CrashID,CrashID1,Latitude,Longitude,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Drvr_Drg_Cat_1_ID,Prsn_Death_Date,Prsn_Death_Time,Incap_Injry_Cnt.x,Nonincap_Injry_Cnt.x,Poss_Injry_Cnt.x,Non_Injry_Cnt.x,Unkn_Injry_Cnt.x,Tot_Injry_Cnt.x,Death_Cnt.x,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt.y,Nonincap_Injry_Cnt.y,Poss_Injry_Cnt.y,Non_Injry_Cnt.y,Unkn_Injry_Cnt.y,Tot_Injry_Cnt.y,Death_Cnt.y,MPO_ID,Unit_ID,Unit_Prsn_ID
14235538,AUS_14235538,30.26460478,-97.73784246,2,1,3,16,2,23,1,1,4,11,1,5,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,1/9/2015,8:23 PM,227,22,N,Y,NA,NA,19,,,1,,,4TH,ST,N,N,30,N,N,,Y,19,,,1,,,RED RIVER,,NA,,,,,,12,4,98,NA,1,2,20,11:21 PM,DISPATCH,11:45 PM,1/10/2015,Y,74,NA,NA,67,8,5,4,1,64,54,1,5,1,21,21,227,22,30.26460478,-97.73784246,,,,NA,RED RIVER ST,399,NA,NA,NA,,NA,,,,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,FRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,0,1,1,0,90,NA,NA
14245367,AUS_14245367,30.32689477,-97.72573519,2,1,3,16,1,51,3,1,4,11,1,4,N,4,NA,NA,4,97,97,,,1,0,0,0,0,1,0,N,N,N,N,N,N,N,1/24/2015,5:38 AM,227,22,N,Y,NA,NA,19,,,1,5800,N,LAMAR,BLVD,N,N,40,N,N,,N,19,,,1,800,,OLD KOENIG,LN,NA,,,,,,11,4,0,NA,1,1,20,5:38 AM,DISPATCH,5:47 AM,1/24/2015,Y,74,NA,NA,121,8,5,4,1,64,3,1,5,1,21,21,227,22,30.32689477,-97.72573519,,,,NA,N LAMAR BLVD,5800,NA,NA,NA,,NA,,,,N/A,NA,NA,NA,NA,Y,N,N,1,9,Y,SAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,1,0,0,1,0,1,0,90,NA,NA
14247393,AUS_14247393,30.3884096,-97.7516787,2,1,3,16,1,21,NA,1,4,11,1,3,N,4,NA,NA,4,97,97,,,1,0,0,0,0,1,0,N,N,N,N,N,N,N,1/27/2015,3:25 PM,227,22,N,N,NA,NA,19,,,1,9300,N,CAPITAL OF TEXAS,HWY,N,N,-1,N,N,,Y,19,,,1,9300,,ARBORETUM,BLVD,NA,,,,,,11,1,4,2,2,1,16,2:47 PM,DISPATCH,3:00 PM,1/27/2015,Y,74,NA,NA,46,8,5,1,1,64,3,1,2,1,21,21,227,22,30.3884096,-97.7516787,SL,360,,0.455,SL0360,NA,113,13,11.494,432,0.228,,,,ARBORETUM BLVD,NA,NA,NA,NA,Y,Y,N,1,9,Y,TUE,3,0,4,10,56,2,4,291,76,48,4,0,0,2,8,5,2,20,5,3,48,4,14,44197,2014,44197,2.3,0.4,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,1,0,0,1,0,1,0,90,NA,NA
14249603,AUS_14249603,30.37323465,-97.7264686,2,1,3,16,3,41,4,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,0,1,0,0,1,0,N,N,N,N,N,N,N,1/29/2015,2:48 PM,227,22,N,N,NA,NA,2,183,,2,,,RESEARCH,BLVD,N,N,-1,N,N,,Y,19,,,1,,,BURNET,RD,NA,,,,,,11,1,2,2,1,1,9,2:46 PM,DISPATCH,2:59 PM,1/29/2015,Y,74,NA,NA,46,8,5,2,2,64,54,2,2,1,21,21,227,22,30.37323465,-97.7264686,US,183,,316.102,US0183,NA,151,6,5.319,512,-0.686,,,,BURNET RD,NA,NA,NA,NA,Y,Y,N,3,9,Y,THU,5,0,10,10,28,2,6,260,112,72,5,0,0,2,20,5,2,20,5,2,8,4,12,115456,2014,115456,2.3,2,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,0,1,1,0,1,0,90,NA,NA
14253299,AUS_14253299,30.27338478,-97.69914247,2,1,3,16,2,28,1,1,4,11,1,2,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,1/16/2015,6:00 PM,227,22,N,N,NA,NA,19,,,1,3100,,OAK SPRINGS,DR,N,N,35,N,N,,Y,19,,,1,1100,,TILLERY,ST,NA,,,,,,11,1,2,NA,1,1,20,6:00 PM,DISPATCH,6:02 PM,1/16/2015,Y,74,NA,NA,34,8,5,1,3,64,54,1,5,1,21,21,227,22,30.27338478,-97.69914247,,,,NA,OAK SPRINGS DR,3105,NA,NA,NA,,NA,,,,TILLERY ST,NA,NA,NA,NA,Y,N,N,2,9,Y,FRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,2,0,1,0,90,NA,NA
14253464,AUS_14253464,30.23243479,-97.76571246,2,1,3,16,0,NA,0,0,4,11,1,5,N,4,NA,NA,4,97,97,,,0,0,0,0,1,0,0,N,N,N,N,N,N,N,1/26/2015,10:47 AM,227,22,N,N,NA,NA,19,,,1,3300,S,1ST,ST,N,N,35,N,N,,Y,19,,,1,500,,LIGHTSEY,RD,NA,,,,,,11,1,2,NA,2,1,5,10:30 AM,DISPATCH,10:35 AM,1/26/2015,Y,74,NA,NA,93,8,5,1,1,64,54,1,5,1,21,21,227,22,30.23243479,-97.76571246,,,,NA,S 1ST ST,3301,NA,NA,NA,,NA,,,,LIGHTSEY RD,NA,NA,NA,NA,N,N,N,5,9,Y,MON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,0,0,2,1,0,0,90,NA,NA
14266075,AUS_14266075,30.31206477,-97.71535247,2,1,3,16,3,27,1,2,4,11,1,4,N,4,NA,NA,4,97,97,,,0,0,1,0,0,1,0,N,N,N,N,N,N,N,2/8/2015,6:30 PM,227,22,N,Y,NA,NA,19,,,1,800,,51,ST,N,N,-1,N,N,51ST ST,Y,19,,,1,5000,,AIRPORT,BLVD,NA,,,,SB AIRPORT,,11,4,4,NA,1,1,21,6:30 PM,BY CITIZEN,6:32 PM,2/8/2015,Y,74,NA,NA,121,8,5,1,3,64,54,1,5,1,21,21,227,22,30.31206477,-97.71535247,,,,NA,E 51ST ST,804,NA,NA,NA,,NA,,,,AIRPORT BLVD,NA,NA,NA,NA,Y,N,N,3,9,Y,SUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,0,1,1,0,1,0,90,NA,NA
14268439,AUS_14268439,30.40747114,-97.71568174,2,1,3,16,5,21,3,1,4,11,1,4,N,4,NA,NA,4,97,97,,,0,0,0,1,0,0,0,N,N,N,N,N,Y,N,2/7/2015,8:32 PM,227,22,N,N,NA,NA,19,,,1,3000,,DUVAL,RD,N,N,40,N,N,,N,11,1,,2,,,N MOPAC EXPY SVRD SB,,NA,,,,,,11,4,0,NA,1,1,11,8:32 PM,DISPATCH,8:35 PM,2/7/2015,Y,74,NA,NA,46,6,5,4,1,64,3,1,5,1,21,21,227,22,30.40747114,-97.71568174,,,,NA,DUVAL RD,3000,NA,NA,NA,,NA,,,,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,SAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,6,0,1,0,90,NA,NA
14272571,AUS_14272571,30.27492768,-97.7464413,2,1,3,16,2,21,1,1,4,11,1,3,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,1/29/2015,12:56 PM,227,22,N,N,NA,NA,19,,,1,1100,,NUECES,ST,N,N,30,N,N,,N,19,,,1,,,11TH,ST,NA,,,,,,11,1,0,NA,1,1,20,12:56 PM,DISPATCH,1:04 PM,1/29/2015,Y,74,NA,NA,67,8,5,3,4,64,14,1,5,1,32,21,227,22,30.27492768,-97.7464413,,,,NA,NUECES ST,1159,NA,NA,NA,,NA,,,,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,THU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,1,0,1,0,90,NA,NA
14274231,AUS_14274231,30.35156478,-97.77192245,2,1,3,16,2,60,3,1,4,11,1,3,N,4,NA,NA,4,97,97,,,0,1,0,0,0,1,0,N,N,N,N,N,N,N,2/12/2015,11:19 AM,227,22,N,N,NA,NA,19,,,1,6400,,MESA,DR,N,N,35,N,N,,N,19,,,NA,,,MESA,CV,NA,,,,,,11,1,0,NA,1,1,11,11:19 AM,DISPATCH,11:24 AM,2/12/2015,Y,74,NA,NA,10,8,5,3,1,64,14,1,5,1,32,21,227,22,30.35156478,-97.77192245,,,,NA,MESA DR,6400,NA,NA,NA,,NA,,,,N/A,NA,NA,NA,NA,Y,N,N,2,9,Y,THU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,2,0,1,0,90,NA,NA
